"","sample_name","title","source_name","organism","donor_id","donor_sex","donor_genotype","injection_type","injection_target","injected_material","dissected_region","dissected_layer","facs_gating","facs_date","rna_amplification_set","sequencing_tube","sequencing_batch","sequencing_qc_pass_fail","cell_class","cell_subclass","cell_cluster","molecule","SRA_Run","GEO_Sample","GEO_Sample_Title","iegsum_activity","tPC1_score","scaled.tPC1_score","scaled.iegsum_activity","Fos","Arc","Npas4","Dusp1","Fosb","Nr4a1","Igf1","Gpd1"
"23393","F2S4_170406_008_F01","F2S4_170406_008_F01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5-L6","RFP-positive","4/6/2017","A8S4_170411_01","SM-D9E4J","R8S4-170503","Pass","GABAergic","Vip","Vip Arhgap36 Hmcn1","polyA RNA","SRR7338650","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",83.2369064497739,17.5305172947837,1.08776498656257,-0.322374782608736,0.986980357506434,-0.320633569434866,-0.373510623367559,0.723758885802353,-0.444875322622506,1.51547379865979,1.0527085984435,1.09860404008737
"23394","F2S4_170406_008_G01","F2S4_170406_008_G01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5-L6","RFP-positive","4/6/2017","A8S4_170411_01","SM-D9E4J","R8S4-170503","Pass","GABAergic","Pvalb","Pvalb Reln Tac1","polyA RNA","SRR7338651","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",83.6095845421677,-8.5159232656539,-1.45752903226322,-0.309838511449426,-1.11469236483278,-0.320633569434866,-0.373510623367559,1.24959008463825,-0.444875322622506,0.414585820648613,-1.70586161731121,-0.775497946516473
"23395","F2S4_170406_008_H01","F2S4_170406_008_H01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5-L6","RFP-positive","4/6/2017","A8S4_170411_01","SM-D9E4J","R8S4-170503","Pass","GABAergic","Pvalb","Pvalb Gabrg1","polyA RNA","SRR7338653","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",88.0552640217966,-8.51152681821628,-0.943785828924986,-0.160293248173998,0.767372633783905,-0.320633569434866,-0.373510623367559,0.933409414862043,-0.444875322622506,-0.758551398604891,-0.54796814420386,-0.775497946516473
"23420","F2S4_170406_009_A01","F2S4_170406_009_A01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5-L6","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Lamp5","Lamp5 Lsp1","polyA RNA","SRR7338654","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",81.3494942131789,-25.7336954578322,0.0890856791438872,-0.385864190948727,0.399299632824908,-0.320633569434866,-0.373510623367559,0.773447292769418,-0.444875322622506,-0.758551398604891,0.602181031254441,-0.775497946516473
"23421","F2S4_170406_009_B01","F2S4_170406_009_B01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5-L6","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Pvalb","Pvalb Reln Tac1","polyA RNA","SRR7338655","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",103.297934194922,-20.8178264032275,-1.40735240424801,0.352444823588848,1.02820011602012,-0.320633569434866,-0.373510623367559,0.465055478318134,-0.444875322622506,-0.758551398604891,-1.70586161731121,-0.775497946516473
"23422","F2S4_170406_009_C01","F2S4_170406_009_C01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5-L6","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Pvalb","Pvalb Reln Tac1","polyA RNA","SRR7338656","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",127.634058141327,-28.868518914001,-1.37995758369691,1.17107155530553,0.894813961948361,-0.320633569434866,-0.373510623367559,1.00141813465827,-0.444875322622506,-0.758551398604891,-1.70586161731121,-0.775497946516473
"23423","F2S4_170406_009_D01","F2S4_170406_009_D01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5-L6","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Pvalb","Pvalb Akr1c18 Ntf3","polyA RNA","SRR7338657","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",70.1590753438106,-24.4052478877247,-1.38915622784068,-0.762291268890407,-0.915399108106652,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,-1.70586161731121,-0.775497946516473
"23424","F2S4_170406_009_E01","F2S4_170406_009_E01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5-L6","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Pvalb","Pvalb Calb1 Sst","polyA RNA","SRR7338658","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",72.359847159309,-16.8498356920084,-1.37228467317996,-0.688260965521503,-1.11469236483278,-0.320633569434866,-0.373510623367559,0.699373618434642,-0.444875322622506,1.39024479955962,-1.70586161731121,-0.775497946516473
"23425","F2S4_170406_009_F01","F2S4_170406_009_F01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5-L6","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Pvalb","Pvalb Gpr149 Islr","polyA RNA","SRR7338659","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",85.6929203045898,-21.0245929001703,-1.33126057570526,-0.239758561576715,0.239497576966053,-0.320633569434866,-0.373510623367559,0.699149652146681,-0.444875322622506,-0.758551398604891,-0.182270400360773,0.0105637963210709
"23426","F2S4_170406_009_G01","F2S4_170406_009_G01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5-L6","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Pvalb","Pvalb Th Sst","polyA RNA","SRR7338660","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",75.9446864826278,-6.35334841374276,-0.752347563123876,-0.567672933284285,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,-1.70586161731121,-0.775497946516473
"23427","F2S4_170406_009_H01","F2S4_170406_009_H01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5-L6","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Pvalb","Pvalb Reln Tac1","polyA RNA","SRR7338661","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",225.252310956727,-4.46203464267189,-1.13005389648299,4.45478721331896,2.20807012810724,-0.320633569434866,3.49071835855778,1.70196266466885,3.60235101177307,1.91635983710864,-1.51863029303901,-0.775497946516473
"23428","F2S4_170406_010_A01","F2S4_170406_010_A01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5-L6","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Pvalb","Pvalb Reln Tac1","polyA RNA","SRR7338662","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",80.0561196893101,-19.6934137166645,-1.39778718406213,-0.429371158684924,0.630470866369011,-0.320633569434866,-0.373510623367559,1.3341402772133,-0.444875322622506,-0.758551398604891,-1.70586161731121,-0.775497946516473
"23429","F2S4_170406_010_B01","F2S4_170406_010_B01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5-L6","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Sst","Sst Tac1 Tacr3","polyA RNA","SRR7338664","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",194.626528738612,-0.0476334022319651,-0.875478684032602,3.42458683881821,2.2538415401191,-0.320633569434866,-0.373510623367559,1.35927828175164,3.86912916980691,1.42720064448,0.138630344525952,-0.775497946516473
"23430","F2S4_170406_010_C01","F2S4_170406_010_C01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5-L6","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Sst","Sst Hpse Sema3c","polyA RNA","SRR7338665","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",82.7808066097921,7.74138722168148,-0.589521136576266,-0.337717222603007,0.959118834880546,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,-1.10197707667536,0.350077823474188
"23431","F2S4_170406_010_D01","F2S4_170406_010_D01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5-L6","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Pvalb","Pvalb Akr1c18 Ntf3","polyA RNA","SRR7338666","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",96.009084917661,-28.1150613149528,-1.39113751331519,0.107260057314623,0.55116668959398,-0.320633569434866,-0.373510623367559,1.42014671637633,-0.444875322622506,-0.758551398604891,-1.70586161731121,-0.775497946516473
"23432","F2S4_170406_010_E01","F2S4_170406_010_E01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5-L6","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Pvalb","Pvalb Reln Tac1","polyA RNA","SRR7338667","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",68.1561332452777,-12.4511110679202,-1.33380201688058,-0.829666909627229,-1.11469236483278,-0.320633569434866,-0.373510623367559,1.06160076358038,-0.444875322622506,-0.758551398604891,-1.70586161731121,-0.0589397509603334
"23433","F2S4_170406_010_F01","F2S4_170406_010_F01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5-L6","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Pvalb","Pvalb Akr1c18 Ntf3","polyA RNA","SRR7338668","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",102.155336918161,-18.9143171069224,-1.15832495706835,0.314009751660236,1.0188612897213,-0.320633569434866,-0.373510623367559,0.834021417226675,-0.444875322622506,-0.486606534270973,-1.70586161731121,-0.775497946516473
"23436","F2S4_170406_014_A01","F2S4_170406_014_A01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3-L4","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Lamp5","Lamp5 Lsp1","polyA RNA","SRR7338671","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",68.8953759349272,-34.0072359625733,0.0790333362648403,-0.804800015116586,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,0.32902136825919,-0.775497946516473
"23437","F2S4_170406_014_B01","F2S4_170406_014_B01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3-L4","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Pvalb","Pvalb Tpbg","polyA RNA","SRR7338672","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",166.461874524834,2.30153046976738,-0.946363799421556,2.47717471683311,1.605596609584,-0.320633569434866,-0.373510623367559,1.07770188464862,0.321900607502274,1.97451993489741,0.231059720672934,-0.775497946516473
"23438","F2S4_170406_014_C01","F2S4_170406_014_C01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3-L4","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Lamp5","Lamp5 Lsp1","polyA RNA","SRR7338673","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",93.9173842758584,-2.01315516722909,0.276990793333988,0.0368987268127089,0.917106221553988,-0.320633569434866,-0.373510623367559,1.29883237467922,-0.444875322622506,-0.758551398604891,0.596800274098161,-0.775497946516473
"23439","F2S4_170406_014_D01","F2S4_170406_014_D01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3-L4","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Pvalb","Pvalb Reln Itm2a","polyA RNA","SRR7338675","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",110.944222353843,-18.4341004354312,-1.3223212961037,0.609653239320406,1.10896080348545,-0.320633569434866,-0.373510623367559,1.45925497129079,-0.444875322622506,-0.758551398604891,-1.70586161731121,-0.775497946516473
"23440","F2S4_170406_014_E01","F2S4_170406_014_E01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3-L4","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Sst","Sst Tac1 Htr1d","polyA RNA","SRR7338676","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",101.735906425651,17.5405991053214,-0.665944901268064,0.299900807523467,0.919563131975956,-0.320633569434866,-0.373510623367559,0.908811030781039,-0.444875322622506,-0.758551398604891,0.645400657144584,-0.775497946516473
"23441","F2S4_170406_014_F01","F2S4_170406_014_F01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3-L4","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Sst","Sst Tac1 Tacr3","polyA RNA","SRR7338677","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",170.557353878107,10.3813379913227,-0.676811398725915,2.61493983033955,1.89137767584842,-0.320633569434866,-0.373510623367559,1.41995768846878,3.78511937028285,-0.758551398604891,-1.04726878150751,-0.775497946516473
"23443","F2S4_170406_014_H01","F2S4_170406_014_H01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3-L4","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Sst","Sst Tac1 Tacr3","polyA RNA","SRR7338679","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",187.388448693351,38.7928858944057,-0.0243114753744444,3.18110986506493,2.2138822000051,-0.320633569434866,-0.373510623367559,1.13569013425624,4.48515155154412,2.16584121039407,0.177030322500219,-0.775497946516473
"23444","F2S4_170406_015_A01","F2S4_170406_015_A01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3-L4","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Pvalb","Pvalb Tpbg","polyA RNA","SRR7338680","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",203.539379694925,-38.7772978127876,-1.53545679294666,3.72440032040275,1.89105128481448,3.45813224449247,0.683828728214279,1.7751710403843,2.75491367834947,1.69410825818718,-1.70586161731121,-0.775497946516473
"23445","F2S4_170406_015_B01","F2S4_170406_015_B01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3-L4","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Sst","Sst Tac1 Htr1d","polyA RNA","SRR7338681","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",85.7688420967672,-2.49930424731531,-0.903022137880677,-0.237204678767229,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,-1.70586161731121,-0.775497946516473
"23446","F2S4_170406_015_C01","F2S4_170406_015_C01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3-L4","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Sst","Sst Tac1 Htr1d","polyA RNA","SRR7338682","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",74.52534750787,-3.13278079560931,-0.889273338066862,-0.615417135633967,0.918324910241734,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.115080451388869,-0.758551398604891,-1.70586161731121,-0.775497946516473
"23447","F2S4_170406_015_D01","F2S4_170406_015_D01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3-L4","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Pvalb","Pvalb Tpbg","polyA RNA","SRR7338683","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",97.8102047495179,-39.3001902040935,-1.27969703468813,0.167846732687838,0.609400708268372,2.85553185673086,-0.373510623367559,0.723032931124648,-0.444875322622506,0.761232115539968,-1.32473870561437,-0.775497946516473
"23448","F2S4_170406_015_E01","F2S4_170406_015_E01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3-L4","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Vip","Vip Igfbp6 Pltp","polyA RNA","SRR7338684","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",25.8588131237269,70.2697967603661,1.08591114449696,-2.25247840613899,1.29201619648427,0.136859473304842,-0.373510623367559,-0.988161722723165,-0.444875322622506,-0.758551398604891,1.08737328973488,1.22530502413637
"23449","F2S4_170406_015_F01","F2S4_170406_015_F01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3-L4","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Pvalb","Pvalb Tpbg","polyA RNA","SRR7338686","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",150.18134989825,-12.2475099910235,-1.28693068593713,1.92952494750072,1.31641795668614,-0.320633569434866,-0.373510623367559,1.34066911617647,1.41474162449427,-0.140217631566625,-1.70586161731121,-0.775497946516473
"23450","F2S4_170406_015_G01","F2S4_170406_015_G01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3-L4","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Pvalb","Pvalb Tpbg","polyA RNA","SRR7338687","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",154.038532021961,2.72379660977435,-0.880123341832558,2.0592741385602,1.83822403013264,2.63813018493926,-0.373510623367559,1.49540022640573,3.51975977842166,0.143551151665492,-0.731164918829311,-0.775497946516473
"23451","F2S4_170406_015_H01","F2S4_170406_015_H01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3-L4","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Pvalb","Pvalb Tpbg","polyA RNA","SRR7338688","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",181.054344706626,-30.4608195628201,-1.43954514528969,2.96804114235353,1.82422655952083,-0.320633569434866,2.35051915250335,1.50420009680142,3.00179077784104,1.50759884489676,-0.723537762576723,-0.0777350918309909
"23452","F2S4_170406_016_A01","F2S4_170406_016_A01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3-L4","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Vip","Vip Crispld2 Kcne4","polyA RNA","SRR7338689","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",179.343904134556,-5.60459197555752,0.544838147786209,2.91050476645437,1.52853357876617,4.33888994949877,0.334845309936101,0.459743077716737,2.82655712232587,1.98756752306695,0.92587931747901,0.761237040858714
"23453","F2S4_170406_016_B01","F2S4_170406_016_B01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3-L4","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Pvalb","Pvalb Tpbg","polyA RNA","SRR7338690","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",119.831643792868,-20.6769357474512,-1.35724607722041,0.908611314239818,1.01324935194566,-0.320633569434866,-0.373510623367559,1.49347372266387,-0.444875322622506,-0.758551398604891,-1.70586161731121,-0.775497946516473
"23454","F2S4_170406_016_C01","F2S4_170406_016_C01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3-L4","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Sst","Sst Tac1 Htr1d","polyA RNA","SRR7338691","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",83.4338568880604,5.42945828457625,-0.862431607649752,-0.315749697448927,0.0330954034249795,-0.320633569434866,-0.373510623367559,0.893665368406344,-0.444875322622506,-0.758551398604891,0.499298604954627,-0.775497946516473
"23455","F2S4_170406_016_D01","F2S4_170406_016_D01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3-L4","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Pvalb","Pvalb Tpbg","polyA RNA","SRR7338692","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",98.1583812817982,-3.0570736921558,-1.03356126369576,0.17955881211794,1.29474321161401,-0.320633569434866,2.95876745019813,-0.410880851371092,0.454445334326955,-0.758551398604891,0.120555380299132,-0.775497946516473
"23456","F2S4_170406_016_E01","F2S4_170406_016_E01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3-L4","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Sst","Sst Calb2 Pdlim5","polyA RNA","SRR7338693","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",107.798243170573,-28.3264189798587,-0.85078629381265,0.50382773224619,0.81356245846303,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,0.277346273955292,0.315567060714335
"23457","F2S4_170406_016_F01","F2S4_170406_016_F01","Primary Visual Cortex (VISp)","Mus musculus","308236","F","Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3-L4","RFP-positive","4/6/2017","A8S4_170411_02","SM-D9E4K","R8S4-170503","Pass","GABAergic","Vip","Vip Chat Htr1f","polyA RNA","SRR7338694","GSM3189972","VISp_Tac1-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",153.40186251099,37.9448993699346,1.42863693241505,2.03785763517217,1.41900043469214,-0.320633569434866,-0.373510623367559,1.13151631323001,2.68321176717868,2.5683375440945,1.25199316661454,1.17846960916355
